state,unemployment_rate
Alabama,3.1
Alaska,4.6
Arizona,3.6
Arkansas,3.5
California,5.3
Colorado,4.3
Connecticut,3.2
Delaware,3.7
Florida,3.4
Georgia,3.5
Hawaii,3.0
Idaho,3.7
Illinois,5.0
Indiana,4.2
Iowa,3.0
Kansas,3.6
Kentucky,5.1
Louisiana,4.4
Maine,3.1
Maryland,3.0
Massachusetts,4.0
Michigan,4.7
Minnesota,3.0
Mississippi,3.2
Missouri,3.7
Montana,3.0
Nebraska,2.8
Nevada,5.6
New Hampshire,2.6
New Jersey,4.5
New Mexico,4.1
New York,4.3
North Carolina,3.6
North Dakota,2.4
Ohio,4.3
Oklahoma,3.3
Oregon,4.2
Pennsylvania,3.6
Rhode Island,4.3
South Carolina,4.1
South Dakota,1.8
Tennessee,3.4
Texas,4.1
Utah,3.2
Vermont,2.3
Virginia,2.9
Washington,4.5
West Virginia,4.1
Wisconsin,3.0
Wyoming,3.2
